index	itemText	coding	type	options	questionText	elements
14	Betting a day's income on the outcome of a sporting event.	"F,G"	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
15	Engaging in unprotected sex.	"H,S"	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
16	Revealing a friend's secret to someone else.	E	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
17	Driving a car without wearing a seat belt.	"H,S"	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
18	Investing 10% of your annual income in a new business venture.	"F,I"	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
19	Taking a skydiving class.	R	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
20	Riding a motorcycle without a helmet.	"H,S"	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
21	Choosing a career that you truly enjoy over a more secure one.	S	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
22	Speaking your mind about an unpopular issue in a meeting at work.	S	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
23	Sunbathing without sunscreen.	"H,S"	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
24	Bungee jumping off a tall bridge.	R	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
25	Piloting a small plane.	R	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
26	Walking home alone at night in an unsafe area of town.	"H,S"	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
27	Moving to a city far away from your extended family.	S	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
28	Starting a new career in your mid-thirties.	S	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
29	Leaving your young children alone at home while running an errand.	E	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
30	Not returning a wallet you found that contains $200.	E	rating	"No benefits at all,Moderate Benefits,Great Benefits"	"For each of the following statements, please indicate the benefits you would obtain from each
situation. Provide a rating from 1 to 7, using the following scale"	7
