index	itemText	coding	type	options	questionText	elements
21	Choosing a career that you truly enjoy over a more secure one.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
22	Speaking your mind about an unpopular issue in a meeting at work.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
23	Sunbathing without sunscreen.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
24	Bungee jumping off a tall bridge.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
25	Piloting a small plane.	R	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
26	Walking home alone at night in an unsafe area of town.	"H,S"	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
27	Moving to a city far away from your extended family.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
28	Starting a new career in your mid-thirties.	S	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
29	Leaving your young children alone at home while running an errand.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
30	Not returning a wallet you found that contains $200.	E	rating	"Extremely Unlikely,Moderately Unlikely,Somewhat Unlikely,Not Sure,Somewhat Likely,Moderately Likely,Extremely Likely"	"For each of the following statements, please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation. Provide a rating from Extremely Unlikely to Extremely Likely, using the following scale "	7
